 {'conf': 0.377796, 'end': 0.373384, 'start': 0.03, 'word': 'patient'}
{'conf': 0.572895, 'end': 0.69, 'start': 0.373384, 'word': 'ships'}
{'conf': 1.0, 'end': 1.05, 'start': 0.69, 'word': 'between'}
{'conf': 1.0, 'end': 1.59, 'start': 1.05, 'word': 'people'}
{'conf': 1.0, 'end': 1.8, 'start': 1.62, 'word': 'who'}
{'conf': 1.0, 'end': 1.89, 'start': 1.8, 'word': 'are'}
{'conf': 1.0, 'end': 2.13, 'start': 1.89, 'word': 'very'}
{'conf': 1.0, 'end': 2.64, 'start': 2.13, 'word': 'different'}
{'conf': 1.0, 'end': 3.0, 'start': 2.67, 'word': 'or'}
{'conf': 1.0, 'end': 3.48, 'start': 3.3, 'word': 'do'}
{'conf': 1.0, 'end': 3.69, 'start': 3.48, 'word': 'not'}
{'conf': 1.0, 'end': 3.96, 'start': 3.69, 'word': 'like'}
{'conf': 1.0, 'end': 4.17, 'start': 3.96, 'word': 'each'}
{'conf': 1.0, 'end': 4.44, 'start': 4.17, 'word': 'other'}
{'conf': 1.0, 'end': 4.68, 'start': 4.5, 'word': 'he'}
{'conf': 0.501408, 'end': 4.8, 'start': 4.68, 'word': 'is'}
{'conf': 0.454649, 'end': 5.001496, 'start': 4.8, 'word': 'now'}
{'conf': 0.543291, 'end': 5.19, 'start': 5.001496, 'word': "i'll"}
{'conf': 1.0, 'end': 5.73, 'start': 5.194181, 'word': 'again'}
{'conf': 0.566664, 'end': 5.97, 'start': 5.79, 'word': 'in'}
{'conf': 1.0, 'end': 6.75, 'start': 5.97, 'word': 'conversation'}
{'conf': 1.0, 'end': 6.93, 'start': 6.75, 'word': 'with'}
{'conf': 1.0, 'end': 7.38, 'start': 6.93, 'word': 'bbc'}
{'conf': 1.0, 'end': 7.71, 'start': 7.38, 'word': 'radio'}
{'conf': 0.732179, 'end': 8.04, 'start': 7.74, 'word': 'four'}
{'conf': 0.560096, 'end': 8.31, 'start': 8.04, 'word': 'was'}
{'conf': 1.0, 'end': 8.61, 'start': 8.34, 'word': 'word'}
{'conf': 1.0, 'end': 8.73, 'start': 8.61, 'word': 'of'}
{'conf': 1.0, 'end': 9.21, 'start': 8.73, 'word': 'mouth'}
{'conf': 1.0, 'end': 9.96, 'start': 9.54, 'word': 'so'}
{'conf': 1.0, 'end': 10.86, 'start': 10.02, 'word': 'conversation'}
{'conf': 1.0, 'end': 11.34, 'start': 10.86, 'word': 'can'}
{'conf': 1.0, 'end': 11.85, 'start': 11.52, 'word': 'build'}
{'conf': 1.0, 'end': 12.42, 'start': 11.88, 'word': 'bridges'}
{'conf': 1.0, 'end': 12.66, 'start': 12.51, 'word': 'and'}
{'conf': 1.0, 'end': 12.78, 'start': 12.66, 'word': 'it'}
{'conf': 1.0, 'end': 12.9, 'start': 12.78, 'word': 'is'}
{'conf': 1.0, 'end': 13.59, 'start': 12.9, 'word': 'proven'}
{'conf': 1.0, 'end': 13.89, 'start': 13.62, 'word': 'through'}
{'conf': 1.0, 'end': 14.61, 'start': 13.89, 'word': 'history'}
{'conf': 0.529906, 'end': 14.88, 'start': 14.7, 'word': 'the'}
