 {'conf': 0.508126, 'end': 0.51, 'start': 0.06, 'word': "let's"}
{'conf': 1.0, 'end': 1.23, 'start': 0.66, 'word': 'be'}
{'conf': 1.0, 'end': 1.8, 'start': 1.35, 'word': 'fifty'}
{'conf': 1.0, 'end': 2.25, 'start': 1.8, 'word': 'four'}
{'conf': 1.0, 'end': 2.73, 'start': 2.25, 'word': 'hours'}
{'conf': 1.0, 'end': 2.91, 'start': 2.73, 'word': 'and'}
{'conf': 1.0, 'end': 3.15, 'start': 2.91, 'word': 'four'}
{'conf': 1.0, 'end': 3.66, 'start': 3.15, 'word': 'minutes'}
{'conf': 0.615733, 'end': 4.32, 'start': 3.96, 'word': 'or'}
{'conf': 0.771951, 'end': 4.98, 'start': 4.38, 'word': 'see'}
{'conf': 1.0, 'end': 5.55, 'start': 5.07, 'word': 'eighty'}
{'conf': 1.0, 'end': 5.85, 'start': 5.55, 'word': 'four'}
{'conf': 1.0, 'end': 6.45, 'start': 5.88, 'word': 'hours'}
{'conf': 1.0, 'end': 6.84, 'start': 6.6, 'word': 'and'}
{'conf': 1.0, 'end': 7.08, 'start': 6.84, 'word': 'four'}
{'conf': 1.0, 'end': 7.65, 'start': 7.08, 'word': 'minutes'}
{'conf': 1.0, 'end': 8.67, 'start': 8.34, 'word': 'all'}
{'conf': 1.0, 'end': 9.15, 'start': 8.7, 'word': 'guess'}
{'conf': 1.0, 'end': 9.6, 'start': 9.24, 'word': 'a'}
{'conf': 1.0, 'end': 9.96, 'start': 9.6, 'word': 'twenty'}
{'conf': 1.0, 'end': 10.32, 'start': 9.96, 'word': 'four'}
{'conf': 1.0, 'end': 10.77, 'start': 10.35, 'word': 'hours'}
{'conf': 1.0, 'end': 10.95, 'start': 10.77, 'word': 'and'}
{'conf': 1.0, 'end': 11.28, 'start': 10.95, 'word': 'four'}
{'conf': 1.0, 'end': 11.73, 'start': 11.28, 'word': 'minutes'}
{'conf': 1.0, 'end': 12.39, 'start': 12.09, 'word': 'after'}
{'conf': 1.0, 'end': 12.6, 'start': 12.39, 'word': 'which'}
{'conf': 1.0, 'end': 12.72, 'start': 12.6, 'word': 'they'}
{'conf': 1.0, 'end': 13.26, 'start': 12.72, 'word': 'probably'}
{'conf': 1.0, 'end': 13.56, 'start': 13.26, 'word': 'fell'}
{'conf': 1.0, 'end': 14.07, 'start': 13.56, 'word': 'asleep'}
{'conf': 1.0, 'end': 14.49, 'start': 14.13, 'word': 'okay'}
{'conf': 0.642016, 'end': 14.88, 'start': 14.49, 'word': 'now'}
