 {'conf': 0.266429, 'end': 0.33, 'start': 0.06, 'word': 'pray'}
{'conf': 1.0, 'end': 0.6, 'start': 0.363171, 'word': 'that'}
{'conf': 1.0, 'end': 1.11, 'start': 0.6, 'word': 'was'}
{'conf': 1.0, 'end': 1.41, 'start': 1.17, 'word': 'the'}
{'conf': 1.0, 'end': 1.83, 'start': 1.41, 'word': 'wrong'}
{'conf': 1.0, 'end': 2.43, 'start': 1.83, 'word': 'answer'}
{'conf': 0.644522, 'end': 3.09, 'start': 2.85, 'word': 'and'}
{'conf': 1.0, 'end': 3.63, 'start': 3.09, 'word': 'fact'}
{'conf': 1.0, 'end': 3.75, 'start': 3.63, 'word': 'the'}
{'conf': 1.0, 'end': 4.2, 'start': 3.75, 'word': 'record'}
{'conf': 1.0, 'end': 4.59, 'start': 4.2, 'word': 'breaking'}
{'conf': 1.0, 'end': 5.37, 'start': 4.59, 'word': 'conversation'}
{'conf': 1.0, 'end': 5.94, 'start': 5.37, 'word': 'lasted'}
{'conf': 1.0, 'end': 6.57, 'start': 6.03, 'word': 'fifty'}
{'conf': 1.0, 'end': 6.81, 'start': 6.57, 'word': 'four'}
{'conf': 1.0, 'end': 7.29, 'start': 6.84, 'word': 'hours'}
{'conf': 1.0, 'end': 7.56, 'start': 7.32, 'word': 'and'}
{'conf': 1.0, 'end': 7.98, 'start': 7.56, 'word': 'four'}
{'conf': 1.0, 'end': 8.49, 'start': 7.98, 'word': 'minutes'}
{'conf': 1.0, 'end': 9.24, 'start': 8.91, 'word': 'about'}
{'conf': 1.0, 'end': 9.33, 'start': 9.24, 'word': 'the'}
{'conf': 1.0, 'end': 9.84, 'start': 9.33, 'word': 'same'}
{'conf': 1.0, 'end': 10.08, 'start': 9.84, 'word': 'as'}
{'conf': 1.0, 'end': 10.44, 'start': 10.08, 'word': 'five'}
{'conf': 1.0, 'end': 10.92, 'start': 10.44, 'word': 'hundred'}
{'conf': 1.0, 'end': 11.16, 'start': 10.95, 'word': 'and'}
{'conf': 1.0, 'end': 11.67, 'start': 11.16, 'word': 'forty'}
{'conf': 1.0, 'end': 12.48, 'start': 11.67, 'word': 'programs'}
{'conf': 0.317343, 'end': 12.63, 'start': 12.54, 'word': 'or'}
{'conf': 1.0, 'end': 12.96, 'start': 12.638738, 'word': 'six'}
{'conf': 1.0, 'end': 13.23, 'start': 12.96, 'word': 'minutes'}
{'conf': 1.0, 'end': 13.8, 'start': 13.23, 'word': 'english'}
{'conf': 1.0, 'end': 14.37, 'start': 13.83, 'word': 'wow'}
