 {'conf': 0.419708, 'end': 0.66, 'start': 0.09, 'word': 'patients'}
{'conf': 1.0, 'end': 1.05, 'start': 0.93, 'word': 'the'}
{'conf': 1.0, 'end': 1.59, 'start': 1.05, 'word': 'exchange'}
{'conf': 1.0, 'end': 1.68, 'start': 1.59, 'word': 'of'}
{'conf': 1.0, 'end': 2.31, 'start': 1.68, 'word': 'ideas'}
{'conf': 1.0, 'end': 2.88, 'start': 2.37, 'word': 'thoughts'}
{'conf': 1.0, 'end': 3.03, 'start': 2.88, 'word': 'and'}
{'conf': 1.0, 'end': 3.72, 'start': 3.03, 'word': 'feelings'}
{'conf': 1.0, 'end': 3.87, 'start': 3.72, 'word': 'that'}
{'conf': 1.0, 'end': 4.32, 'start': 3.87, 'word': 'happens'}
{'conf': 1.0, 'end': 4.59, 'start': 4.32, 'word': 'when'}
{'conf': 1.0, 'end': 4.95, 'start': 4.59, 'word': 'people'}
{'conf': 1.0, 'end': 5.34, 'start': 4.95, 'word': 'talk'}
{'conf': 1.0, 'end': 5.52, 'start': 5.34, 'word': 'to'}
{'conf': 1.0, 'end': 5.73, 'start': 5.52, 'word': 'each'}
{'conf': 1.0, 'end': 5.97, 'start': 5.73, 'word': 'other'}
{'conf': 1.0, 'end': 6.36, 'start': 6.0, 'word': 'and'}
{'conf': 1.0, 'end': 6.6, 'start': 6.36, 'word': 'as'}
{'conf': 1.0, 'end': 7.14, 'start': 6.6, 'word': 'usual'}
{'conf': 1.0, 'end': 7.53, 'start': 7.32, 'word': 'will'}
{'conf': 1.0, 'end': 7.65, 'start': 7.53, 'word': 'be'}
{'conf': 1.0, 'end': 8.01, 'start': 7.65, 'word': 'learning'}
{'conf': 1.0, 'end': 8.25, 'start': 8.01, 'word': 'some'}
{'conf': 1.0, 'end': 8.43, 'start': 8.25, 'word': 'new'}
{'conf': 1.0, 'end': 9.18, 'start': 8.43, 'word': 'vocabulary'}
{'conf': 1.0, 'end': 9.3, 'start': 9.18, 'word': 'as'}
{'conf': 1.0, 'end': 9.63, 'start': 9.3, 'word': 'well'}
{'conf': 1.0, 'end': 9.9, 'start': 9.69, 'word': 'with'}
{'conf': 1.0, 'end': 9.99, 'start': 9.9, 'word': 'the'}
{'conf': 1.0, 'end': 10.38, 'start': 9.99, 'word': 'rise'}
{'conf': 1.0, 'end': 10.47, 'start': 10.38, 'word': 'of'}
{'conf': 1.0, 'end': 10.65, 'start': 10.47, 'word': 'to'}
{'conf': 1.0, 'end': 10.74, 'start': 10.65, 'word': 'a'}
{'conf': 1.0, 'end': 11.16, 'start': 10.74, 'word': 'certain'}
{'conf': 1.0, 'end': 11.55, 'start': 11.16, 'word': 'social'}
{'conf': 1.0, 'end': 12.06, 'start': 11.55, 'word': 'media'}
{'conf': 1.0, 'end': 12.33, 'start': 12.12, 'word': 'which'}
{'conf': 1.0, 'end': 12.96, 'start': 12.33, 'word': 'encourages'}
{'conf': 1.0, 'end': 13.17, 'start': 12.96, 'word': 'us'}
{'conf': 1.0, 'end': 13.32, 'start': 13.17, 'word': 'to'}
{'conf': 1.0, 'end': 13.56, 'start': 13.32, 'word': 'give'}
{'conf': 1.0, 'end': 13.71, 'start': 13.56, 'word': 'our'}
{'conf': 1.0, 'end': 14.19, 'start': 13.71, 'word': 'opinion'}
{'conf': 1.0, 'end': 14.34, 'start': 14.19, 'word': 'on'}
{'conf': 1.0, 'end': 14.4, 'start': 14.34, 'word': 'a'}
{'conf': 1.0, 'end': 14.97, 'start': 14.4, 'word': 'subject'}
