 {'conf': 0.378468, 'end': 0.269468, 'start': 0.0, 'word': 'the'}
{'conf': 1.0, 'end': 0.396102, 'start': 0.269468, 'word': 'i'}
{'conf': 1.0, 'end': 0.69, 'start': 0.396102, 'word': "hadn't"}
{'conf': 1.0, 'end': 1.02, 'start': 0.69, 'word': 'seen'}
{'conf': 1.0, 'end': 1.17, 'start': 1.02, 'word': 'for'}
{'conf': 1.0, 'end': 2.04, 'start': 1.17, 'word': 'years'}
{'conf': 1.0, 'end': 2.37, 'start': 2.19, 'word': 'we'}
{'conf': 1.0, 'end': 2.76, 'start': 2.37, 'word': 'talked'}
{'conf': 1.0, 'end': 2.91, 'start': 2.76, 'word': 'for'}
{'conf': 1.0, 'end': 3.596405, 'start': 2.91, 'word': 'hours'}
{'conf': 0.512278, 'end': 3.96, 'start': 3.6, 'word': "i'd"}
{'conf': 1.0, 'end': 4.35, 'start': 3.96, 'word': 'sounds'}
{'conf': 1.0, 'end': 4.53, 'start': 4.35, 'word': 'like'}
{'conf': 1.0, 'end': 4.68, 'start': 4.53, 'word': 'you'}
{'conf': 1.0, 'end': 4.89, 'start': 4.68, 'word': 'had'}
{'conf': 1.0, 'end': 4.92, 'start': 4.89, 'word': 'a'}
{'conf': 1.0, 'end': 5.19, 'start': 4.92, 'word': 'good'}
{'conf': 1.0, 'end': 5.55, 'start': 5.19, 'word': 'chin'}
{'conf': 1.0, 'end': 5.97, 'start': 5.55, 'word': 'wag'}
{'conf': 0.8058, 'end': 6.45, 'start': 6.33, 'word': 'a'}
{'conf': 0.8058, 'end': 6.87, 'start': 6.45, 'word': 'long'}
{'conf': 1.0, 'end': 7.08, 'start': 6.87, 'word': 'and'}
{'conf': 1.0, 'end': 7.5, 'start': 7.08, 'word': 'pleasant'}
{'conf': 1.0, 'end': 8.22, 'start': 7.53, 'word': 'conversation'}
{'conf': 1.0, 'end': 8.58, 'start': 8.22, 'word': 'between'}
{'conf': 1.0, 'end': 9.18, 'start': 8.58, 'word': 'friends'}
{'conf': 1.0, 'end': 9.54, 'start': 9.33, 'word': 'which'}
{'conf': 1.0, 'end': 9.66, 'start': 9.54, 'word': 'is'}
{'conf': 1.0, 'end': 10.05, 'start': 9.66, 'word': 'great'}
{'conf': 1.0, 'end': 10.44, 'start': 10.08, 'word': 'because'}
{'conf': 1.0, 'end': 10.56, 'start': 10.44, 'word': 'in'}
{'conf': 1.0, 'end': 10.71, 'start': 10.56, 'word': 'this'}
{'conf': 1.0, 'end': 11.31, 'start': 10.71, 'word': 'program'}
{'conf': 0.739744, 'end': 11.55, 'start': 11.37, 'word': "we're"}
{'conf': 1.0, 'end': 12.09, 'start': 11.55, 'word': 'talking'}
{'conf': 1.0, 'end': 12.57, 'start': 12.18, 'word': 'about'}
{'conf': 1.0, 'end': 13.26, 'start': 12.75, 'word': 'talking'}
{'conf': 0.669298, 'end': 13.89, 'start': 13.71, 'word': 'will'}
{'conf': 1.0, 'end': 14.01, 'start': 13.89, 'word': 'be'}
{'conf': 1.0, 'end': 14.67, 'start': 14.01, 'word': 'discussing'}
{'conf': 0.503185, 'end': 14.909999, 'start': 14.699999, 'word': 'com'}
