 {'conf': 0.699893, 'end': 0.219222, 'start': 0.06, 'word': 'with'}
{'conf': 0.353387, 'end': 0.48, 'start': 0.219222, 'word': 'that'}
{'conf': 1.0, 'end': 0.9, 'start': 0.48, 'word': 'always'}
{'conf': 1.0, 'end': 1.38, 'start': 0.9, 'word': 'listening'}
{'conf': 0.738851, 'end': 1.5, 'start': 1.38, 'word': 'and'}
{'conf': 1.0, 'end': 2.1, 'start': 1.5, 'word': 'return'}
{'conf': 1.0, 'end': 2.88, 'start': 2.49, 'word': 'some'}
{'conf': 1.0, 'end': 3.27, 'start': 2.88, 'word': 'think'}
{'conf': 1.0, 'end': 3.48, 'start': 3.27, 'word': 'the'}
{'conf': 0.501998, 'end': 3.78, 'start': 3.48, 'word': 'art'}
{'conf': 1.0, 'end': 3.87, 'start': 3.78, 'word': 'of'}
{'conf': 1.0, 'end': 4.8, 'start': 3.87, 'word': 'conversation'}
{'conf': 1.0, 'end': 5.07, 'start': 4.89, 'word': 'is'}
{'conf': 1.0, 'end': 5.43, 'start': 5.07, 'word': 'being'}
{'conf': 1.0, 'end': 6.06, 'start': 5.43, 'word': 'lost'}
{'conf': 1.0, 'end': 6.75, 'start': 6.54, 'word': 'but'}
{'conf': 1.0, 'end': 7.23, 'start': 6.75, 'word': 'luckily'}
{'conf': 1.0, 'end': 7.41, 'start': 7.23, 'word': 'there'}
{'conf': 1.0, 'end': 7.5, 'start': 7.41, 'word': 'are'}
{'conf': 1.0, 'end': 7.92, 'start': 7.5, 'word': 'still'}
{'conf': 1.0, 'end': 8.58, 'start': 7.95, 'word': 'millions'}
{'conf': 1.0, 'end': 8.73, 'start': 8.58, 'word': 'of'}
{'conf': 1.0, 'end': 9.03, 'start': 8.73, 'word': 'us'}
{'conf': 1.0, 'end': 9.12, 'start': 9.03, 'word': 'who'}
{'conf': 1.0, 'end': 9.36, 'start': 9.12, 'word': 'love'}
{'conf': 1.0, 'end': 9.51, 'start': 9.36, 'word': 'to'}
{'conf': 1.0, 'end': 10.02, 'start': 9.51, 'word': 'talk'}
{'conf': 1.0, 'end': 10.65, 'start': 10.08, 'word': 'chat'}
{'conf': 1.0, 'end': 11.04, 'start': 10.74, 'word': 'chin'}
{'conf': 0.630611, 'end': 11.37, 'start': 11.04, 'word': 'mag'}
{'conf': 0.730162, 'end': 11.697032, 'start': 11.4, 'word': 'and'}
{'conf': 1.0, 'end': 12.21, 'start': 11.697032, 'word': 'chatter'}
{'conf': 1.0, 'end': 12.72, 'start': 12.21, 'word': 'away'}
{'conf': 1.0, 'end': 12.99, 'start': 12.81, 'word': 'in'}
{'conf': 1.0, 'end': 13.559999, 'start': 12.99, 'word': 'fact'}
{'conf': 0.769896, 'end': 13.739999, 'start': 13.559999, 'word': 'and'}
{'conf': 1.0, 'end': 14.1, 'start': 13.74, 'word': 'twenty'}
{'conf': 1.0, 'end': 14.76, 'start': 14.1, 'word': 'twelve'}
