 {'conf': 0.436276, 'end': 0.207267, 'start': 0.09, 'word': 'so'}
{'conf': 0.835769, 'end': 0.27, 'start': 0.207267, 'word': 'i'}
{'conf': 1.0, 'end': 0.45, 'start': 0.27, 'word': 'was'}
{'conf': 1.0, 'end': 1.05, 'start': 0.45, 'word': 'conscious'}
{'conf': 1.0, 'end': 1.2, 'start': 1.05, 'word': 'of'}
{'conf': 1.0, 'end': 2.34, 'start': 1.2, 'word': 'experiences'}
{'conf': 1.0, 'end': 2.61, 'start': 2.4, 'word': 'of'}
{'conf': 1.0, 'end': 3.24, 'start': 2.61, 'word': 'others'}
{'conf': 1.0, 'end': 3.75, 'start': 3.33, 'word': 'and'}
{'conf': 1.0, 'end': 4.32, 'start': 3.81, 'word': 'wanted'}
{'conf': 1.0, 'end': 4.92, 'start': 4.32, 'word': 'to'}
{'conf': 1.0, 'end': 5.28, 'start': 5.04, 'word': 'try'}
{'conf': 1.0, 'end': 5.37, 'start': 5.28, 'word': 'and'}
{'conf': 1.0, 'end': 5.97, 'start': 5.37, 'word': 'understand'}
{'conf': 1.0, 'end': 6.09, 'start': 5.97, 'word': 'them'}
{'conf': 1.0, 'end': 6.72, 'start': 6.09, 'word': 'also'}
{'conf': 1.0, 'end': 7.56, 'start': 6.84, 'word': 'partially'}
{'conf': 0.52048, 'end': 8.152035, 'start': 7.62, 'word': 'michael'}
{'conf': 1.0, 'end': 8.31, 'start': 8.152035, 'word': 'it'}
{'conf': 1.0, 'end': 8.43, 'start': 8.31, 'word': 'was'}
{'conf': 1.0, 'end': 8.49, 'start': 8.43, 'word': 'a'}
{'conf': 1.0, 'end': 9.15, 'start': 8.49, 'word': 'survival'}
{'conf': 1.0, 'end': 9.84, 'start': 9.15, 'word': 'instincts'}
{'conf': 1.0, 'end': 10.35, 'start': 9.84, 'word': 'because'}
{'conf': 1.0, 'end': 10.5, 'start': 10.35, 'word': 'i'}
{'conf': 1.0, 'end': 10.68, 'start': 10.5, 'word': 'was'}
{'conf': 1.0, 'end': 10.98, 'start': 10.68, 'word': 'a'}
{'conf': 1.0, 'end': 11.4, 'start': 11.1, 'word': 'little'}
{'conf': 1.0, 'end': 11.82, 'start': 11.4, 'word': 'brown'}
{'conf': 1.0, 'end': 12.27, 'start': 11.82, 'word': 'boy'}
{'conf': 1.0, 'end': 12.54, 'start': 12.36, 'word': 'in'}
{'conf': 1.0, 'end': 12.57, 'start': 12.54, 'word': 'a'}
{'conf': 1.0, 'end': 13.38, 'start': 12.57, 'word': 'predominantly'}
{'conf': 1.0, 'end': 13.71, 'start': 13.38, 'word': 'white'}
{'conf': 1.0, 'end': 14.22, 'start': 13.71, 'word': 'school'}
{'conf': 1.0, 'end': 14.88, 'start': 14.31, 'word': 'states'}
