 {'conf': 0.512047, 'end': 0.42, 'start': 0.0, 'word': 'that'}
{'conf': 1.0, 'end': 0.66, 'start': 0.51, 'word': 'the'}
{'conf': 1.0, 'end': 1.44, 'start': 0.66, 'word': 'survival'}
{'conf': 1.0, 'end': 2.13, 'start': 1.47, 'word': 'instinct'}
{'conf': 1.0, 'end': 2.34, 'start': 2.16, 'word': 'is'}
{'conf': 1.0, 'end': 2.43, 'start': 2.34, 'word': 'the'}
{'conf': 1.0, 'end': 2.97, 'start': 2.43, 'word': 'basic'}
{'conf': 0.550571, 'end': 3.51, 'start': 2.97, 'word': 'instincts'}
{'conf': 1.0, 'end': 3.63, 'start': 3.51, 'word': 'in'}
{'conf': 1.0, 'end': 4.17, 'start': 3.63, 'word': 'humans'}
{'conf': 1.0, 'end': 4.32, 'start': 4.17, 'word': 'and'}
{'conf': 1.0, 'end': 4.86, 'start': 4.32, 'word': 'animals'}
{'conf': 1.0, 'end': 4.98, 'start': 4.86, 'word': 'to'}
{'conf': 1.0, 'end': 5.16, 'start': 4.98, 'word': 'do'}
{'conf': 1.0, 'end': 5.64, 'start': 5.16, 'word': 'something'}
{'conf': 0.742759, 'end': 5.76, 'start': 5.64, 'word': 'in'}
{'conf': 1.0, 'end': 5.82, 'start': 5.76, 'word': 'a'}
{'conf': 1.0, 'end': 6.45, 'start': 5.82, 'word': 'dangerous'}
{'conf': 1.0, 'end': 7.17, 'start': 6.45, 'word': 'situation'}
{'conf': 1.0, 'end': 7.5, 'start': 7.35, 'word': 'that'}
{'conf': 1.0, 'end': 7.62, 'start': 7.5, 'word': 'will'}
{'conf': 1.0, 'end': 7.86, 'start': 7.62, 'word': 'keep'}
{'conf': 1.0, 'end': 8.01, 'start': 7.86, 'word': 'them'}
{'conf': 1.0, 'end': 8.49, 'start': 8.01, 'word': 'alive'}
{'conf': 1.0, 'end': 8.7, 'start': 8.55, 'word': 'if'}
{'conf': 1.0, 'end': 8.82, 'start': 8.7, 'word': 'you'}
{'conf': 1.0, 'end': 9.24, 'start': 8.82, 'word': 'build'}
{'conf': 1.0, 'end': 9.87, 'start': 9.24, 'word': 'bridges'}
{'conf': 0.634248, 'end': 10.138388, 'start': 9.93, 'word': 'you'}
{'conf': 1.0, 'end': 10.68, 'start': 10.138388, 'word': 'improve'}
{'conf': 0.846089, 'end': 11.58, 'start': 10.68, 'word': 'relationships'}
{'conf': 1.0, 'end': 12.0, 'start': 11.58, 'word': 'between'}
{'conf': 1.0, 'end': 12.48, 'start': 12.0, 'word': 'people'}
{'conf': 1.0, 'end': 12.63, 'start': 12.48, 'word': 'who'}
{'conf': 1.0, 'end': 12.75, 'start': 12.63, 'word': 'are'}
{'conf': 1.0, 'end': 13.05, 'start': 12.75, 'word': 'very'}
{'conf': 1.0, 'end': 13.62, 'start': 13.05, 'word': 'different'}
{'conf': 1.0, 'end': 13.77, 'start': 13.65, 'word': 'or'}
{'conf': 1.0, 'end': 13.92, 'start': 13.77, 'word': 'do'}
{'conf': 1.0, 'end': 14.13, 'start': 13.92, 'word': 'not'}
{'conf': 1.0, 'end': 14.37, 'start': 14.13, 'word': 'like'}
{'conf': 1.0, 'end': 14.55, 'start': 14.37, 'word': 'each'}
{'conf': 1.0, 'end': 14.85, 'start': 14.55, 'word': 'other'}
