 {'conf': 0.809255, 'end': 0.48, 'start': 0.06, 'word': 'okay'}
{'conf': 1.0, 'end': 0.72, 'start': 0.48, 'word': "let's"}
{'conf': 1.0, 'end': 1.17, 'start': 0.72, 'word': 'recap'}
{'conf': 1.0, 'end': 1.29, 'start': 1.17, 'word': 'the'}
{'conf': 1.0, 'end': 2.04, 'start': 1.29, 'word': 'vocabulary'}
{'conf': 1.0, 'end': 2.28, 'start': 2.04, 'word': "we've"}
{'conf': 1.0, 'end': 2.55, 'start': 2.28, 'word': 'learned'}
{'conf': 1.0, 'end': 2.73, 'start': 2.55, 'word': 'from'}
{'conf': 1.0, 'end': 2.91, 'start': 2.73, 'word': 'this'}
{'conf': 1.0, 'end': 3.48, 'start': 2.91, 'word': 'program'}
{'conf': 1.0, 'end': 3.69, 'start': 3.51, 'word': 'on'}
{'conf': 1.0, 'end': 3.84, 'start': 3.69, 'word': 'the'}
{'conf': 1.0, 'end': 4.2, 'start': 3.87, 'word': 'art'}
{'conf': 0.780265, 'end': 4.47, 'start': 4.26, 'word': 'of'}
{'conf': 1.0, 'end': 4.74, 'start': 4.47, 'word': 'good'}
{'conf': 1.0, 'end': 5.76, 'start': 4.74, 'word': 'conversations'}
{'conf': 1.0, 'end': 6.33, 'start': 5.79, 'word': 'starting'}
{'conf': 1.0, 'end': 6.6, 'start': 6.33, 'word': 'with'}
{'conf': 1.0, 'end': 6.96, 'start': 6.6, 'word': 'chin'}
{'conf': 1.0, 'end': 7.32, 'start': 6.96, 'word': 'wag'}
{'conf': 0.800221, 'end': 7.5, 'start': 7.41, 'word': 'a'}
{'conf': 0.800221, 'end': 7.98, 'start': 7.5, 'word': 'long'}
{'conf': 1.0, 'end': 8.22, 'start': 7.98, 'word': 'and'}
{'conf': 1.0, 'end': 8.7, 'start': 8.22, 'word': 'pleasant'}
{'conf': 1.0, 'end': 9.42, 'start': 8.7, 'word': 'conversation'}
{'conf': 1.0, 'end': 9.81, 'start': 9.42, 'word': 'between'}
{'conf': 1.0, 'end': 10.35, 'start': 9.81, 'word': 'friends'}
{'conf': 1.0, 'end': 10.62, 'start': 10.38, 'word': 'when'}
{'conf': 1.0, 'end': 11.1, 'start': 10.62, 'word': 'something'}
{'conf': 1.0, 'end': 11.37, 'start': 11.13, 'word': 'is'}
{'conf': 1.0, 'end': 12.24, 'start': 11.37, 'word': 'enriched'}
{'conf': 1.0, 'end': 12.51, 'start': 12.3, 'word': "it's"}
{'conf': 1.0, 'end': 13.29, 'start': 12.51, 'word': 'improved'}
{'conf': 1.0, 'end': 13.44, 'start': 13.29, 'word': 'by'}
{'conf': 1.0, 'end': 13.74, 'start': 13.44, 'word': 'having'}
{'conf': 1.0, 'end': 14.16, 'start': 13.74, 'word': 'something'}
{'conf': 1.0, 'end': 14.55, 'start': 14.19, 'word': 'else'}
{'conf': 0.525015, 'end': 14.939999, 'start': 14.55, 'word': 'added'}
